app,app_confRate
0,0.0
1,0.0
2,0.00034239144521814246
3,0.0002959372317330787
4,0.0
5,0.0041297317354991
6,0.0
8,0.001329326797269979
9,0.0007451562786202407
10,0.007880381375141923
11,0.0005884409841079492
12,0.0
13,0.0
14,0.0006848464076577782
15,0.0
16,0.0
17,0.001149361198515035
18,0.00022086775895933413
19,0.08344867596006138
20,0.0007572627218845133
21,0.00034976737439871826
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0007615137025135467
27,0.0023238999807894054
28,0.0
29,0.06156471631499257
32,0.016373257652546255
33,0.0
34,0.0
35,0.2494395152552858
36,0.006243528667879287
37,0.0
38,0.0
39,0.020000000000000004
42,0.0
45,0.02318927557711286
47,0.0
49,0.0
50,0.0
52,0.0
57,0.0
58,0.0
60,0.0
64,0.0
65,0.0
66,0.0
68,0.0
72,0.12723233459190997
73,0.0
74,0.0
75,0.0
78,0.030102999566398118
79,0.0
80,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
95,0.0
96,0.0
102,0.0
103,0.0
105,0.0
107,0.0
108,0.0
109,0.0
110,0.030102999566398118
115,0.0
118,0.0
119,0.0
121,0.0
122,0.0
125,0.0
127,0.0
128,0.0
130,0.0
136,0.06361616729595498
137,0.0
141,0.0
148,0.0
150,0.0018120408910662603
151,0.0
155,0.08387640052032225
165,0.0
166,0.0
167,0.0
170,0.0
182,0.0
183,0.0
192,0.0
202,0.0
207,0.0
215,0.0
229,0.0
233,0.0
250,0.0
251,0.0
261,0.0
267,0.0
268,0.0
299,0.0
303,0.0
315,0.0
347,0.0
381,0.0
469,0.0
481,0.0
536,0.0
538,0.0
541,0.0
610,0.0
645,0.0
