channel,channel_confRate
3,0.0
13,0.0
15,0.0
17,0.0
18,0.0
19,0.0
21,0.05369845453578779
24,0.0
30,0.0
101,0.08009253727628908
105,0.0
107,0.0005078573504548613
108,0.0
110,0.0009570800045600454
111,0.0
113,0.010901301469823469
115,0.0
116,0.0
118,0.0
120,0.0
121,0.0
122,0.0006088613464561821
123,0.0
124,0.0
125,0.0
128,0.00035025448307217074
130,0.0
134,0.0004165211533149686
135,0.0
137,0.0006777437364420323
138,0.0
140,0.0005413565226496714
145,0.001064901693455765
150,0.0
153,0.00028700579112623295
160,0.0
171,0.0
173,0.0
178,0.0
182,0.0
203,0.02593837501278812
205,0.0
210,0.04342760898982143
211,0.0
212,0.0
213,0.10013655963252174
215,0.0007470776384365715
219,0.0007984072844198827
222,0.0
224,0.013460564220556092
232,0.0
234,0.0
236,0.0
237,0.0
242,0.0
243,0.003506242585338491
244,0.0
245,0.0
258,0.0006546373754847189
259,0.00018316661563241138
265,0.0
266,0.001646888036939431
268,0.056803237372266814
272,0.0
274,0.20565108042587757
277,0.0
278,0.0
280,0.0004139734641802829
282,0.05187675002557624
315,0.0
317,0.006160964405868391
319,0.0
320,0.0
325,0.0
326,0.0
328,0.0
330,0.0
333,0.020000000000000004
334,0.0
341,0.0
343,0.01423062006753802
347,0.0055157293979811
349,0.0
353,0.0
360,0.0
364,0.0
371,0.0
373,0.0
376,0.0
377,0.002319662471056437
379,0.0
386,0.0
391,0.0
400,0.0
401,0.0010980392163381688
402,0.0
409,0.0
411,0.0
412,0.0
417,0.0
419,0.0
420,0.0
421,0.0
424,0.0
430,0.0
435,0.0
439,0.0006067511960830065
442,0.0005294706121150027
445,0.0
446,0.0
449,0.0
451,0.0
452,0.0
456,0.0
459,0.0
460,0.0
463,0.001474743280564843
465,0.0
466,0.0
467,0.0
469,0.0
477,0.0
478,0.0
479,0.0
480,0.0007640889711024437
481,0.001963461953578858
484,0.0
486,0.0
487,0.0
488,0.0
489,0.0008555039194518998
497,0.0
498,0.0
