os,os_confRate
0,0.04777037245296127
1,0.001641051269751011
2,0.0
3,0.0003877627492415887
4,0.0
5,0.0
6,0.0022284063900244087
7,0.0
8,0.0004442299115923302
9,0.0008149370036828299
10,0.0016384376693102725
11,0.0
12,0.0009985702361181802
13,0.0011486743932409092
14,0.000864901933530703
15,0.0002886118981756085
16,0.00037303394570490484
17,0.00014129254997303516
18,0.00029576098364048845
19,0.001389309449840882
20,0.0015774392670185571
21,0.059337362532264674
22,0.0014063502188187268
23,0.0
24,0.07648017132823406
25,0.0006091589103443376
26,0.0
27,0.0
28,0.0007296521078381056
29,0.04034201373514362
30,0.0
31,0.0
32,0.0
34,0.0024835949318517308
35,0.0
36,0.0
37,0.0
38,0.03603479804805306
39,0.0
40,0.004011954984525444
41,0.0012890001438566163
42,0.0
43,0.0
44,0.0041297317354991
45,0.0
46,0.002587336535409012
47,0.0
48,0.0
49,0.0
50,0.0
52,0.0
53,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.030102999566398118
68,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
76,0.0
77,0.0
79,0.0
80,0.0
81,0.0
85,0.0
86,0.0
87,0.0
88,0.0
90,0.0
92,0.0
96,0.0
97,0.0
98,0.0
100,0.0
106,0.0
107,0.0
111,0.0
112,0.0
145,0.0
155,0.0
159,0.0
164,0.0
178,0.0
607,0.0005904169154085233
