app,app_channel_4
0,1
1,22
2,20
3,32
4,1
5,4
6,3
7,1
8,3
9,26
10,5
11,11
12,26
13,5
14,22
15,25
16,1
17,5
18,10
19,8
20,3
21,3
22,1
23,2
24,2
25,1
26,4
27,5
28,2
29,10
30,1
31,1
32,2
33,1
34,1
35,2
36,4
37,3
38,1
39,2
42,1
44,1
45,7
46,1
47,1
48,1
49,1
50,1
51,1
52,3
53,1
55,3
56,1
57,1
58,2
59,1
60,1
61,1
62,1
64,1
65,2
66,1
68,1
70,1
72,1
73,1
74,1
75,1
76,1
78,1
79,1
80,1
82,3
83,2
84,1
85,1
86,1
87,2
88,1
93,1
94,1
95,1
96,2
97,1
99,1
100,1
102,1
103,3
104,1
105,1
107,1
108,2
109,1
110,3
111,1
112,1
114,1
115,1
116,1
117,1
118,1
119,1
121,1
122,1
123,1
124,2
125,1
127,1
128,1
130,2
133,1
134,1
135,1
136,1
137,1
141,1
142,1
145,1
147,1
148,3
150,1
151,1
155,2
165,1
166,1
167,1
169,1
170,1
171,1
176,1
177,1
182,1
183,1
190,2
191,1
192,1
202,1
207,1
215,1
229,1
231,1
232,1
233,1
239,1
250,1
251,1
260,1
261,1
266,1
267,1
268,1
299,1
301,1
303,1
304,1
315,1
347,1
355,1
381,1
435,1
469,1
481,1
536,1
538,1
541,1
610,1
645,1
